SerieNum,Date,Q (g/s),Hs (m),Zo (m),U_1m  (m/s),WindDir_2m,Ustar (m/s),HeatFlux (W/m2),Zmix (m),T (C),StdDD (deg),StdW (m/s),Wstar (m/s),L (m),StabilityClass
32,'06/08/1956 20:00',41.4,0.46,0.006,1.6,171,0.1076,-17.72,200,22.4,3.6,-99,-0.46,6.32,F
33,'07/08/1956 13:00',94.7,0.46,0.006,6.9,181,0.5453,180.74,650,29.1,10.5,-99,1.48,-80.71,D
34,'07/08/1956 15:00',97.4,0.46,0.006,8.46,146,0.667,254.66,700,30.9,7.3,-99,1.7,-104.84,D
69,'07/08/1956 23:00',41.8,0.46,0.006,3.4,135,0.2621,-22.23,200,22.1,5,-99,-0.5,72.88,D
35,'11/08/1956 22:00',38.8,0.46,0.006,1.1,132,0.067,-7.45,200,19.1,3.3,-99,-0.35,3.63,F
36,'11/08/1956 23:00',40,0.46,0.006,1.37,160,0.0942,-10,200,18.6,3.8,-99,-0.38,7.53,F
37,'12/08/1956 03:00',40.3,0.46,0.006,4,187,0.31,-23.12,200,20.5,7,-99,-0.5,115.92,D
38,'12/08/1956 05:00',45.4,0.46,0.006,3.7,170,0.2868,-18.13,200,19.6,5,-99,-0.47,117.02,D
39,'13/08/1956 22:00',40.7,0.46,0.006,1.69,140,0.1172,-17.95,200,20,5.8,-99,-0.46,8.06,F
40,'14/08/1956 01:00',40.5,0.46,0.006,1.58,180,0.1086,-15.39,200,19.9,9,-99,-0.44,7.49,F
41,'14/08/1956 03:00',39.9,0.46,0.006,3.16,198,0.2406,-32.58,200,20,5,-99,-0.57,38.48,E
42,'14/08/1956 05:00',56.4,0.46,0.006,5.27,212,0.4094,-37.95,200,21.2,6.6,-99,-0.6,162.73,D
43,'15/08/1956 12:00',98.9,0.46,0.006,4.68,170,0.379,229.18,574,34.1,12.2,-99,1.54,-21.38,C
44,'15/08/1956 14:00',100.7,0.46,0.006,5.39,158,0.4335,263.2,1330,35.9,12.7,-99,2.13,-27.84,C
45,'15/08/1956 17:00',100.8,0.46,0.006,5.31,163,0.4187,62.81,836,35.2,6.9,-99,1.13,-105.09,D
46,'15/08/1956 19:00',99.7,0.46,0.006,4.86,134,0.3775,-31.19,200,32.5,7.7,-99,-0.56,155.16,D
47,'20/08/1956 10:00',103.1,0.46,0.006,3.02,243,0.2567,217.33,311,18.4,13.9,-99,1.23,-7,A
70,'20/08/1956 12:00',104,0.46,0.006,2.77,216,0.2334,140.17,1210,19.9,-99,-99,1.68,-8.16,B
48,'21/08/1956 09:00',104.1,0.46,0.006,6.91,214,0.5466,198.21,413,18.9,8.1,-99,1.32,-74.11,D
49,'21/08/1956 11:00',102,0.46,0.006,6.03,199,0.4819,270.34,553,24,11.9,-99,1.61,-37.23,C
50,'21/08/1956 14:00',102.8,0.46,0.006,6.06,215,0.4861,331.86,754,29.2,10.9,-99,1.91,-31.13,C
51,'21/08/1956 15:00',102.4,0.46,0.006,6.18,245,0.4923,242.16,1880,30.4,10.8,-99,2.33,-44.32,D
52,'24/08/1956 11:00',104,0.46,0.006,4.04,132,0.3347,293.13,950,25.9,17.7,-99,1.98,-11.51,A
53,'24/08/1956 20:00',45.2,0.46,0.006,1.56,132,0.0972,-20.44,200,16.5,3.9,-99,-0.48,4.04,F
54,'24/08/1956 22:00',43.4,0.46,0.006,3.4,140,0.2603,-32.86,200,18.4,5.9,-99,-0.57,48.27,D
55,'25/08/1956 01:00',45.3,0.46,0.006,5.17,156,0.4013,-41.27,200,16.6,5.8,-99,-0.61,140.84,D
56,'25/08/1956 02:00',45.9,0.46,0.006,4.15,153,0.3213,-28.52,200,15.1,6.1,-99,-0.54,104.64,D
57,'25/08/1956 17:00',101.5,0.46,0.006,6.42,200,0.5039,48.22,1620,34.1,8,-99,1.29,-238.66,D
58,'25/08/1956 19:00',40.5,0.46,0.006,1.65,178,0.1123,-18.44,200,25.6,4.1,-99,-0.47,6.9,F
59,'25/08/1956 22:00',40.2,0.46,0.006,2.02,174,0.146,-22.24,200,23.1,5.2,-99,-0.5,12.59,F
60,'26/08/1956 01:00',38.5,0.46,0.006,4.04,198,0.3116,-36.2,200,25.4,5.9,-99,-0.59,75.19,D
61,'27/08/1956 11:00',102.1,0.46,0.006,7,203,0.5564,305.16,455,32.2,11,-99,1.57,-50.78,D
62,'27/08/1956 14:00',102.1,0.46,0.006,4.61,212,0.3676,106.64,1000,31.1,8.8,-99,1.44,-41.9,C
65,'29/08/1956 20:00',44.1,1.5,0.006,3.93,178,0.3012,-47.79,200,24.7,5,-99,-0.64,51.46,D
66,'29/08/1956 22:00',43.1,1.5,0.006,2.56,166,0.1894,-33.58,200,19.8,6.9,-99,-0.57,18.22,E
67,'30/08/1956 01:00',45,1.5,0.006,3.85,185,0.2981,-22.77,200,20.3,5.4,-99,-0.5,104.62,D
68,'30/08/1956 03:00',42.8,1.5,0.006,2.19,174,0.164,-16.88,200,20.3,5.3,-99,-0.45,23.52,E
,,,,,,,,,,,,,,,12
